date,ABLH_h00,ABLH_h01,ABLH_h02,ABLH_h03,ABLH_h04,ABLH_h05,ABLH_h06,ABLH_h07,ABLH_h08,ABLH_h09,ABLH_h10,ABLH_h11,ABLH_h12,ABLH_h13,ABLH_h14,ABLH_h15,ABLH_h16,ABLH_h17,ABLH_h18,ABLH_h19,ABLH_h20,ABLH_h21,ABLH_h22,ABLH_h23,AQI,PM2.5,PM10,NO2,SO2,CO
2024-01-01,157.12234,773.0969,811.49976,871.52686,944.4844,1020.48706,1056.5869,1053.1904,937.7268,129.39622,47.454727,42.524536,43.55931,46.855408,51.884598,57.796524,54.980713,51.00125,52.180923,50.17859,40.719833,37.006256,30.370178,42.10327,112,84,130,29.0,7,1.0
2024-01-02,96.539,179.8861,277.34058,514.03345,594.4346,696.2661,712.05615,670.10913,573.6909,136.31174,117.148834,152.55757,240.88689,343.74976,311.8452,258.19263,261.27783,263.98438,394.6958,458.47437,495.62598,581.801,648.6626,660.1604,170,96,7,0.75,50,40.0
2024-01-03,693.6655,704.05664,709.2727,714.6516,723.04346,739.92236,744.0071,731.79736,684.7405,591.35864,212.95183,166.05151,146.54776,121.22368,90.89581,60.525757,36.189163,23.954987,26.04924,32.1418,43.956192,56.70392,55.321518,57.073486,103,77,110,29.0,6,1.02
2024-01-04,82.66214,343.28906,395.99683,472.96948,598.44336,658.6074,664.34814,637.52295,505.20605,171.61284,139.11346,147.68962,149.68837,143.7834,129.74963,114.27478,96.11679,80.956436,65.198456,59.50586,56.86345,56.11487,38.23909,36.799988,113,85,124,48.0,8,1.02
2024-01-05,72.27051,125.0634,196.89246,340.02954,534.4509,709.84766,815.1382,783.95703,416.53467,73.81546,46.021957,39.468323,37.667557,35.64818,35.145447,34.801758,31.443222,24.444916,19.259384,23.75206,32.64853,37.788345,46.757034,58.224808,245,97,9,0.98,60,41.0
2024-01-06,68.16406,106.43404,185.07925,367.02808,558.06055,799.9048,967.3369,996.43677,799.6897,314.19702,159.74344,141.41609,122.21886,123.25746,132.15448,127.53308,128.18896,127.32355,137.96924,146.06183,163.63155,163.41858,177.7565,192.78079,169,128,178,79.0,11,1.47
2024-01-07,255.26161,369.69946,555.77856,825.1968,1101.4248,1174.0928,1196.7358,1180.6077,1116.1079,405.24023,192.62524,275.3462,362.32056,351.19238,327.97632,288.85303,269.5437,249.29057,232.91457,219.30116,207.65239,175.00964,153.28644,172.89426,114,85,120,52.0,8,1.05
2024-01-08,328.0376,600.0542,699.1731,742.32666,764.92017,778.15674,803.8696,770.5156,653.8721,501.50952,272.23926,278.73706,282.3369,270.65454,248.87602,221.85536,216.22183,209.37125,195.73561,160.34886,112.659485,71.55295,42.86328,35.646683,36,38,7,0.68,41,30.0
2024-01-09,46.54567,180.85085,308.60913,467.239,631.96875,779.17773,933.36865,884.94214,539.5425,188.52722,145.88432,190.38554,230.63458,296.6753,515.33105,687.1094,749.7654,815.7595,894.90845,769.4597,587.02563,556.5276,522.8906,496.78442,109,82,119,53.0,8,1.0
2024-01-10,555.98145,1042.0007,1164.2749,1206.3054,1232.0691,1219.7979,1252.6604,1293.4082,1257.7156,1112.0332,320.5481,198.00761,120.47751,90.055756,79.409195,62.491013,47.51027,34.066666,18.331055,21.86,30.894775,37.553818,33.71826,53.892883,159,120,158,37.0,8,1.11
2024-01-11,104.4393,253.93222,378.04126,470.3584,565.7781,662.35376,730.5481,738.8064,615.4536,68.73857,56.71988,65.21974,72.16254,78.67749,81.473526,79.39978,72.66672,64.634445,59.753952,53.839798,48.465897,43.66545,39.621735,42.324905,140,106,154,63.0,8,1.1
2024-01-12,54.34236,87.632385,145.57867,312.6765,590.5593,761.72656,846.4138,833.9182,346.29663,62.97023,33.0813,27.977554,23.98555,18.765106,14.877202,14.548509,16.878662,16.371002,12.64589,10.306416,14.506009,19.626648,18.079208,18.56314,102,76,113,71.0,9,0.95
2024-01-13,16.957367,50.34221,123.67052,252.40796,422.86963,563.96045,617.0862,560.4509,378.073,240.17435,187.89487,204.34424,223.6256,230.42522,227.69623,219.89397,203.65489,175.32434,147.0292,121.34889,105.81996,97.55234,99.053406,110.41356,127,96,140,85.0,12,1.17
2024-01-14,139.2442,202.44385,274.45264,337.49976,458.77856,886.87573,1087.7656,994.4407,712.2539,627.6094,600.39233,560.5974,512.20605,549.58374,586.6987,644.22095,689.7146,705.9724,727.4658,734.6992,722.5032,720.4441,723.1023,712.65796,181,109,10,0.86,41,74.0
2024-01-15,720.3601,770.9426,818.61304,889.9446,966.7407,992.8833,1015.417,1010.60474,962.63403,773.2329,244.3767,258.41626,271.92944,268.4109,262.5525,243.33969,229.91847,207.18793,194.55026,180.62625,177.23906,164.10869,168.25641,203.01428,58,47,6,0.65,23,50.0
2024-01-16,344.9026,904.49536,963.3777,991.3638,1015.42944,974.52344,928.1255,894.89453,819.3103,674.99634,461.28516,464.82178,491.90112,484.2107,460.92432,438.98804,424.94458,395.10278,341.58838,305.0913,274.46484,238.48358,165.50368,176.1202,32,32,7,0.55,30,49.0
2024-01-17,218.88878,299.36304,389.08228,461.78613,525.03564,595.57056,672.615,687.2927,466.4851,74.989456,75.68179,90.96236,119.84845,144.6963,153.05812,154.06358,169.30116,201.02936,236.96962,265.43628,297.30127,325.34863,323.30322,328.8916,110,60,7,0.49,36,60.0
